order_id,customer_id,order_date,status,region,acquisition_channel
ORD000051,CUST03191,2024-02-20,completed,South,Paid Social
ORD000052,CUST03191,2024-03-16,completed,South,Paid Social
ORD000053,CUST03191,2024-03-24,completed,South,Paid Social
ORD000054,CUST03191,2024-05-14,completed,South,Paid Social
ORD000055,CUST03191,2024-05-19,completed,South,Paid Social
ORD000056,CUST03191,2024-07-25,completed,South,Paid Social
ORD000057,CUST03191,2024-07-28,completed,South,Paid Social
ORD000058,CUST03191,2024-09-05,completed,South,Paid Social
ORD000059,CUST03191,2024-11-20,completed,South,Paid Social
ORD000060,CUST03191,2024-11-25,returned,South,Paid Social
ORD000061,CUST03191,2024-11-28,cancelled,South,Paid Social
ORD000062,CUST01913,2024-01-09,returned,West,Paid Social
ORD000063,CUST01913,2024-02-24,completed,West,Paid Social
ORD000064,CUST01913,2024-03-13,completed,West,Paid Social
ORD000065,CUST01913,2024-03-24,completed,West,Paid Social
ORD000066,CUST01913,2024-04-07,completed,West,Paid Social
ORD000067,CUST01913,2024-04-23,completed,West,Paid Social
ORD000068,CUST01913,2024-04-24,completed,West,Paid Social
ORD000069,CUST01996,2024-01-03,completed,Northeast,Paid Social
ORD000070,CUST01996,2024-07-29,completed,Northeast,Paid Social
ORD000071,CUST01996,2024-10-08,completed,Northeast,Paid Social
ORD000072,CUST00773,2024-07-02,completed,West,Paid Social
ORD000073,CUST03217,2024-01-13,completed,Midwest,Direct
ORD000074,CUST03217,2024-04-01,completed,Midwest,Direct
ORD000075,CUST03217,2024-06-12,completed,Midwest,Direct
ORD000076,CUST03217,2024-06-14,completed,Midwest,Direct
ORD000077,CUST03217,2024-09-22,completed,Midwest,Direct
ORD000078,CUST02628,2024-04-30,completed,Midwest,Direct
ORD000079,CUST02628,2024-07-13,returned,Midwest,Direct
ORD000080,CUST01622,2024-01-07,completed,Midwest,Referral
ORD000081,CUST01622,2024-01-11,returned,Midwest,Referral
ORD000082,CUST01622,2024-01-18,cancelled,Midwest,Referral
ORD000083,CUST01622,2024-02-03,completed,Midwest,Referral
ORD000084,CUST01622,2024-02-08,completed,Midwest,Referral
ORD000085,CUST01294,2024-01-05,completed,South,Organic Search
ORD000086,CUST01294,2024-02-07,completed,South,Organic Search
ORD000087,CUST01294,2024-03-12,completed,South,Organic Search
ORD000088,CUST01294,2024-03-20,completed,South,Organic Search
ORD000089,CUST01294,2024-03-20,cancelled,South,Organic Search
ORD000090,CUST01294,2024-03-21,completed,South,Organic Search
ORD000091,CUST01294,2024-03-24,completed,South,Organic Search
ORD000092,CUST01294,2024-03-30,completed,South,Organic Search
ORD000093,CUST01294,2024-04-01,completed,South,Organic Search
ORD000094,CUST01294,2024-04-05,completed,South,Organic Search
ORD000095,CUST01294,2024-04-12,completed,South,Organic Search
ORD000096,CUST00901,2024-01-09,completed,Midwest,Paid Social
ORD000097,CUST00901,2024-01-16,completed,Midwest,Paid Social
ORD000098,CUST00901,2024-01-19,completed,Midwest,Paid Social
ORD000099,CUST00901,2024-01-30,completed,Midwest,Paid Social
ORD000100,CUST00901,2024-01-30,completed,Midwest,Paid Social
ORD000101,CUST00901,2024-02-02,completed,Midwest,Paid Social
ORD000102,CUST00901,2024-02-02,completed,Midwest,Paid Social
ORD000103,CUST01550,2024-07-12,completed,West,Organic Search
ORD000104,CUST01550,2024-08-27,completed,West,Organic Search
ORD000105,CUST01550,2024-10-29,completed,West,Organic Search
ORD000106,CUST01550,2024-11-16,cancelled,West,Organic Search
ORD000107,CUST01550,2024-11-16,completed,West,Organic Search
ORD000108,CUST02789,2024-01-19,completed,Northeast,Paid Social
ORD000109,CUST02789,2024-04-22,completed,Northeast,Paid Social
ORD000110,CUST02789,2024-04-30,completed,Northeast,Paid Social
ORD000111,CUST02789,2024-05-22,cancelled,Northeast,Paid Social
ORD000112,CUST02789,2024-07-16,completed,Northeast,Paid Social
ORD000113,CUST02789,2024-07-27,completed,Northeast,Paid Social
ORD000114,CUST02789,2024-08-10,completed,Northeast,Paid Social
ORD000115,CUST02789,2024-08-13,completed,Northeast,Paid Social
ORD000116,CUST03234,2024-01-12,cancelled,Midwest,Direct
ORD000117,CUST03234,2024-01-15,completed,Midwest,Direct
ORD000118,CUST03234,2024-01-16,completed,Midwest,Direct
ORD000119,CUST03234,2024-01-20,completed,Midwest,Direct
ORD000120,CUST03234,2024-01-30,completed,Midwest,Direct
ORD000121,CUST03234,2024-02-11,completed,Midwest,Direct
ORD000122,CUST03234,2024-02-19,completed,Midwest,Direct
ORD000123,CUST01237,2024-03-28,completed,West,Paid Social
ORD000124,CUST01237,2024-04-14,completed,West,Paid Social
ORD000125,CUST00381,2024-01-31,completed,West,Referral
ORD000126,CUST00381,2024-06-23,completed,West,Referral
ORD000127,CUST00381,2024-08-22,completed,West,Referral
ORD000128,CUST00381,2025-01-27,cancelled,West,Referral
ORD000129,CUST00381,2025-03-12,completed,West,Referral
ORD000130,CUST00381,2025-04-13,completed,West,Referral
ORD000131,CUST00846,2024-02-01,completed,South,Organic Search
ORD000132,CUST00846,2024-02-03,completed,South,Organic Search
ORD000133,CUST00846,2024-03-08,completed,South,Organic Search
ORD000134,CUST00846,2024-04-02,completed,South,Organic Search
ORD000135,CUST00846,2024-05-19,completed,South,Organic Search
ORD000136,CUST00846,2024-06-04,completed,South,Organic Search
ORD000137,CUST00846,2024-06-27,completed,South,Organic Search
ORD000138,CUST00846,2024-06-28,completed,South,Organic Search
ORD000139,CUST00845,2024-01-04,completed,Northeast,Email
ORD000140,CUST00845,2024-05-01,completed,Northeast,Email
ORD000141,CUST00845,2024-07-16,completed,Northeast,Email
ORD000142,CUST02646,2024-01-13,completed,West,Paid Social
ORD000143,CUST02646,2024-03-29,completed,West,Paid Social
ORD000144,CUST01190,2024-04-04,completed,Midwest,Email
ORD000145,CUST01190,2024-04-26,completed,Midwest,Email
ORD000146,CUST01190,2024-05-15,completed,Midwest,Email
ORD000147,CUST01190,2024-09-30,completed,Midwest,Email
ORD000148,CUST01190,2025-01-19,cancelled,Midwest,Email
ORD000149,CUST01190,2025-02-02,completed,Midwest,Email
ORD000150,CUST02401,2024-01-18,completed,South,Paid Social
ORD000151,CUST02401,2024-01-20,completed,South,Paid Social
ORD000152,CUST02401,2024-02-06,completed,South,Paid Social
ORD000153,CUST02401,2024-03-27,completed,South,Paid Social
ORD000154,CUST00465,2024-02-17,completed,Northeast,Paid Social
ORD000155,CUST00465,2024-03-24,completed,Northeast,Paid Social
ORD000156,CUST00465,2024-03-27,completed,Northeast,Paid Social
ORD000157,CUST00465,2024-04-22,completed,Northeast,Paid Social
ORD000158,CUST00465,2024-04-28,completed,Northeast,Paid Social
ORD000159,CUST00465,2024-04-29,completed,Northeast,Paid Social
ORD000160,CUST00465,2024-05-13,completed,Northeast,Paid Social
ORD000161,CUST00465,2024-05-25,returned,Northeast,Paid Social
ORD000162,CUST00465,2024-06-08,completed,Northeast,Paid Social
ORD000163,CUST00465,2024-06-13,completed,Northeast,Paid Social
ORD000164,CUST00465,2024-07-03,completed,Northeast,Paid Social
ORD000165,CUST00465,2024-07-26,completed,Northeast,Paid Social
ORD000166,CUST00575,2024-02-29,completed,South,Paid Social
ORD000167,CUST00575,2024-05-21,completed,South,Paid Social
ORD000168,CUST00575,2024-07-07,cancelled,South,Paid Social
ORD000169,CUST00707,2024-02-03,completed,West,Organic Search
ORD000170,CUST00707,2024-02-20,completed,West,Organic Search
ORD000171,CUST00707,2024-03-14,completed,West,Organic Search
ORD000172,CUST00707,2024-03-20,completed,West,Organic Search
ORD000173,CUST03399,2024-01-18,completed,South,Referral
ORD000174,CUST03399,2024-01-24,completed,South,Referral
ORD000175,CUST03399,2024-01-27,completed,South,Referral
ORD000176,CUST03399,2024-01-27,completed,South,Referral
ORD000177,CUST03399,2024-02-03,completed,South,Referral
ORD000178,CUST03399,2024-02-10,completed,South,Referral
ORD000179,CUST03399,2024-02-13,completed,South,Referral
ORD000180,CUST03399,2024-02-16,completed,South,Referral
ORD000181,CUST01279,2024-01-22,completed,Midwest,Email
ORD000182,CUST01279,2024-01-29,completed,Midwest,Email
ORD000183,CUST01279,2024-01-30,completed,Midwest,Email
ORD000184,CUST01279,2024-02-01,completed,Midwest,Email
ORD000185,CUST01279,2024-02-02,completed,Midwest,Email
ORD000186,CUST01279,2024-02-03,completed,Midwest,Email
ORD000187,CUST00104,2024-01-08,completed,West,Direct
ORD000188,CUST00104,2024-02-05,completed,West,Direct
ORD000189,CUST00104,2024-02-14,completed,West,Direct
ORD000190,CUST00104,2024-03-02,cancelled,West,Direct
ORD000191,CUST00104,2024-05-01,completed,West,Direct
ORD000192,CUST00104,2024-05-13,completed,West,Direct
ORD000193,CUST00104,2024-05-24,cancelled,West,Direct
ORD000194,CUST00104,2024-07-02,completed,West,Direct
ORD000195,CUST00104,2024-07-24,completed,West,Direct
ORD000196,CUST03725,2024-02-24,cancelled,West,Email
ORD000197,CUST03725,2024-03-09,completed,West,Email
ORD000198,CUST03725,2024-05-03,completed,West,Email
ORD000199,CUST01175,2024-02-17,completed,South,Paid Social
ORD000200,CUST01175,2024-02-19,completed,South,Paid Social
ORD000201,CUST01175,2024-02-23,completed,South,Paid Social
ORD000202,CUST01175,2024-05-02,cancelled,South,Paid Social
ORD000203,CUST01175,2024-05-13,completed,South,Paid Social
ORD000204,CUST01807,2024-02-01,completed,South,Referral
ORD000205,CUST01807,2024-03-01,completed,South,Referral
ORD000206,CUST01807,2024-05-21,completed,South,Referral
ORD000207,CUST02202,2024-01-27,completed,West,Direct
ORD000208,CUST02202,2024-02-07,completed,West,Direct
ORD000209,CUST02202,2024-02-21,completed,West,Direct
ORD000210,CUST02202,2024-03-08,completed,West,Direct
ORD000211,CUST01070,2024-01-06,completed,Midwest,Referral
ORD000212,CUST01070,2024-01-12,cancelled,Midwest,Referral
ORD000213,CUST01070,2024-01-25,returned,Midwest,Referral
ORD000214,CUST01070,2024-01-27,completed,Midwest,Referral
ORD000215,CUST01070,2024-02-11,returned,Midwest,Referral
ORD000216,CUST01070,2024-02-20,completed,Midwest,Referral
ORD000217,CUST01532,2024-01-13,completed,Northeast,Organic Search
ORD000218,CUST01532,2024-07-20,completed,Northeast,Organic Search
ORD000219,CUST01532,2024-08-14,completed,Northeast,Organic Search
ORD000220,CUST00303,2024-01-14,completed,Midwest,Paid Social
ORD000221,CUST00303,2024-01-15,completed,Midwest,Paid Social
ORD000222,CUST00303,2024-01-21,completed,Midwest,Paid Social
ORD000223,CUST00303,2024-02-07,completed,Midwest,Paid Social
ORD000224,CUST00303,2024-02-26,completed,Midwest,Paid Social
ORD000225,CUST01763,2024-01-31,completed,Northeast,Organic Search
ORD000226,CUST01763,2024-03-09,cancelled,Northeast,Organic Search
ORD000227,CUST01763,2024-04-04,completed,Northeast,Organic Search
ORD000228,CUST01763,2024-05-22,completed,Northeast,Organic Search
ORD000229,CUST01763,2024-08-03,completed,Northeast,Organic Search
ORD000230,CUST01763,2024-08-04,completed,Northeast,Organic Search
ORD000231,CUST01763,2024-10-05,completed,Northeast,Organic Search
ORD000232,CUST02443,2024-04-28,completed,West,Paid Social
ORD000233,CUST02443,2025-04-18,completed,West,Paid Social
ORD000234,CUST03904,2024-01-26,completed,South,Paid Social
ORD000235,CUST03904,2024-05-17,completed,South,Paid Social
ORD000236,CUST03904,2024-07-11,completed,South,Paid Social
ORD000237,CUST01682,2024-01-30,completed,Northeast,Email
ORD000238,CUST01682,2024-02-26,completed,Northeast,Email
ORD000239,CUST01682,2024-02-29,completed,Northeast,Email
ORD000240,CUST01682,2024-03-11,completed,Northeast,Email
ORD000241,CUST01682,2024-03-12,completed,Northeast,Email
ORD000242,CUST01682,2024-04-01,completed,Northeast,Email
ORD000243,CUST01682,2024-04-17,cancelled,Northeast,Email
ORD000244,CUST01682,2024-04-20,completed,Northeast,Email
ORD000245,CUST01682,2024-05-22,completed,Northeast,Email
ORD000246,CUST00790,2024-01-14,completed,Midwest,Direct
ORD000247,CUST00790,2024-01-18,completed,Midwest,Direct
ORD000248,CUST00790,2024-01-28,completed,Midwest,Direct
ORD000249,CUST00790,2024-02-07,completed,Midwest,Direct
ORD000250,CUST00790,2024-02-09,cancelled,Midwest,Direct
ORD000251,CUST00790,2024-02-12,completed,Midwest,Direct
ORD000252,CUST00790,2024-02-14,completed,Midwest,Direct
ORD000253,CUST00801,2024-02-17,completed,West,Paid Social
ORD000254,CUST00801,2024-03-07,completed,West,Paid Social
ORD000255,CUST00801,2024-05-04,completed,West,Paid Social
ORD000256,CUST00801,2024-05-13,completed,West,Paid Social
ORD000257,CUST00801,2024-06-01,completed,West,Paid Social
ORD000258,CUST00801,2024-06-05,completed,West,Paid Social
ORD000259,CUST00801,2024-06-10,completed,West,Paid Social
ORD000260,CUST03822,2024-04-26,completed,West,Direct
ORD000261,CUST03822,2024-09-07,completed,West,Direct
ORD000262,CUST03822,2024-09-29,completed,West,Direct
ORD000263,CUST03822,2024-09-30,returned,West,Direct
ORD000264,CUST03822,2024-10-07,cancelled,West,Direct
ORD000265,CUST01121,2024-01-18,completed,Northeast,Paid Social
ORD000266,CUST01121,2024-01-28,completed,Northeast,Paid Social
ORD000267,CUST01121,2024-06-15,cancelled,Northeast,Paid Social
ORD000268,CUST01121,2024-08-13,completed,Northeast,Paid Social
ORD000269,CUST01121,2024-09-27,completed,Northeast,Paid Social
ORD000270,CUST00839,2024-01-24,cancelled,Midwest,Direct
ORD000271,CUST00839,2024-01-25,completed,Midwest,Direct
ORD000272,CUST00839,2024-02-04,completed,Midwest,Direct
ORD000273,CUST00839,2024-02-22,cancelled,Midwest,Direct
ORD000274,CUST00839,2024-02-24,completed,Midwest,Direct
ORD000275,CUST00839,2024-03-10,completed,Midwest,Direct
ORD000276,CUST03103,2024-01-12,returned,Northeast,Paid Social
ORD000277,CUST03103,2024-01-13,completed,Northeast,Paid Social
ORD000278,CUST03103,2024-01-22,completed,Northeast,Paid Social
ORD000279,CUST03103,2024-02-19,completed,Northeast,Paid Social
ORD000280,CUST03103,2024-02-21,completed,Northeast,Paid Social
ORD000281,CUST03103,2024-02-28,completed,Northeast,Paid Social
ORD000282,CUST03103,2024-03-01,completed,Northeast,Paid Social
ORD000283,CUST03103,2024-03-02,completed,Northeast,Paid Social
ORD000284,CUST00410,2024-01-17,completed,West,Organic Search
ORD000285,CUST00410,2024-01-22,completed,West,Organic Search
ORD000286,CUST00410,2024-03-04,completed,West,Organic Search
ORD000287,CUST00410,2024-06-03,completed,West,Organic Search
ORD000288,CUST00410,2024-06-12,completed,West,Organic Search
ORD000289,CUST03136,2024-01-25,completed,South,Email
ORD000290,CUST03136,2024-02-20,completed,South,Email
ORD000291,CUST03136,2024-02-28,completed,South,Email
ORD000292,CUST03136,2024-03-13,completed,South,Email
ORD000293,CUST03136,2024-03-14,returned,South,Email
ORD000294,CUST03136,2024-03-15,returned,South,Email
ORD000295,CUST03136,2024-03-19,completed,South,Email
ORD000296,CUST03136,2024-04-03,completed,South,Email
ORD000297,CUST03136,2024-04-05,completed,South,Email
ORD000298,CUST03136,2024-05-11,completed,South,Email
ORD000299,CUST03136,2024-05-15,completed,South,Email
ORD000300,CUST00889,2024-03-09,completed,Northeast,Email
ORD000301,CUST00889,2024-06-25,completed,Northeast,Email
ORD000302,CUST00889,2024-08-15,cancelled,Northeast,Email
ORD000303,CUST00889,2024-08-16,completed,Northeast,Email
ORD000304,CUST00889,2024-08-21,completed,Northeast,Email
ORD000305,CUST00889,2024-10-01,completed,Northeast,Email
ORD000306,CUST01038,2024-02-15,completed,Northeast,Referral
ORD000307,CUST01038,2024-03-21,completed,Northeast,Referral
ORD000308,CUST01038,2024-05-23,completed,Northeast,Referral
ORD000309,CUST01038,2024-06-29,completed,Northeast,Referral
ORD000310,CUST01038,2024-08-05,completed,Northeast,Referral
ORD000311,CUST02975,2024-05-10,completed,South,Organic Search
ORD000312,CUST02975,2024-06-06,completed,South,Organic Search
ORD000313,CUST00415,2024-01-16,cancelled,Midwest,Paid Social
ORD000314,CUST00415,2024-07-20,completed,Midwest,Paid Social
ORD000315,CUST00415,2024-10-08,returned,Midwest,Paid Social
ORD000316,CUST01652,2024-03-27,completed,Northeast,Organic Search
ORD000317,CUST01652,2024-07-07,completed,Northeast,Organic Search
ORD000318,CUST01652,2024-07-22,completed,Northeast,Organic Search
ORD000319,CUST01652,2024-09-08,completed,Northeast,Organic Search
ORD000320,CUST01624,2024-01-16,completed,West,Organic Search
ORD000321,CUST01624,2024-02-01,completed,West,Organic Search
ORD000322,CUST03505,2024-01-12,completed,West,Email
ORD000323,CUST03505,2024-01-13,completed,West,Email
ORD000324,CUST03505,2024-02-03,completed,West,Email
ORD000325,CUST03505,2024-02-28,completed,West,Email
ORD000326,CUST03505,2024-04-15,completed,West,Email
ORD000327,CUST03505,2024-04-28,completed,West,Email
ORD000328,CUST03898,2024-05-26,returned,West,Referral
ORD000329,CUST03898,2024-07-26,completed,West,Referral
ORD000330,CUST03898,2025-05-13,completed,West,Referral
ORD000331,CUST03898,2025-06-07,completed,West,Referral
ORD000332,CUST00478,2024-02-22,completed,Northeast,Paid Social
ORD000333,CUST00478,2024-02-24,completed,Northeast,Paid Social
ORD000334,CUST00478,2024-03-02,completed,Northeast,Paid Social
ORD000335,CUST00478,2024-04-30,completed,Northeast,Paid Social
ORD000336,CUST00478,2024-05-02,completed,Northeast,Paid Social
ORD000337,CUST01366,2024-06-30,completed,Midwest,Organic Search
ORD000338,CUST01366,2025-01-09,completed,Midwest,Organic Search
ORD000339,CUST01366,2025-03-25,completed,Midwest,Organic Search
ORD000340,CUST01366,2025-04-08,completed,Midwest,Organic Search
ORD000341,CUST01366,2025-05-17,completed,Midwest,Organic Search
ORD000342,CUST01366,2025-05-27,completed,Midwest,Organic Search
ORD000343,CUST01366,2025-06-13,completed,Midwest,Organic Search
ORD000344,CUST02090,2024-01-12,completed,Northeast,Organic Search
ORD000345,CUST02090,2024-01-17,completed,Northeast,Organic Search
ORD000346,CUST02090,2024-02-28,completed,Northeast,Organic Search
ORD000347,CUST02090,2024-04-05,completed,Northeast,Organic Search
ORD000348,CUST02090,2024-10-14,completed,Northeast,Organic Search
ORD000349,CUST02090,2024-12-14,completed,Northeast,Organic Search
ORD000350,CUST02090,2024-12-31,returned,Northeast,Organic Search
ORD000351,CUST01594,2024-01-12,completed,Northeast,Direct
ORD000352,CUST01594,2024-03-10,completed,Northeast,Direct
ORD000353,CUST01594,2024-03-17,completed,Northeast,Direct
ORD000354,CUST01594,2024-04-01,completed,Northeast,Direct
ORD000355,CUST00233,2024-02-06,completed,Northeast,Direct
ORD000356,CUST00233,2024-03-07,cancelled,Northeast,Direct
ORD000357,CUST00233,2024-06-14,cancelled,Northeast,Direct
ORD000358,CUST00233,2024-06-17,completed,Northeast,Direct
ORD000359,CUST00233,2024-06-19,completed,Northeast,Direct
ORD000360,CUST00233,2024-07-28,completed,Northeast,Direct
ORD000361,CUST00233,2024-08-18,completed,Northeast,Direct
ORD000362,CUST03858,2024-07-15,completed,South,Email
ORD000363,CUST02171,2024-03-14,completed,West,Direct
ORD000364,CUST02171,2024-05-07,completed,West,Direct
ORD000365,CUST02171,2024-05-10,completed,West,Direct
ORD000366,CUST02171,2024-06-30,completed,West,Direct
ORD000367,CUST02171,2024-07-17,completed,West,Direct
ORD000368,CUST02171,2024-08-30,completed,West,Direct
ORD000369,CUST02171,2024-09-25,completed,West,Direct
ORD000370,CUST00540,2024-04-18,completed,South,Referral
ORD000371,CUST00540,2024-05-09,returned,South,Referral
ORD000372,CUST00540,2024-07-19,completed,South,Referral
ORD000373,CUST00540,2024-07-21,completed,South,Referral
ORD000374,CUST00540,2024-08-26,cancelled,South,Referral
ORD000375,CUST03788,2024-03-03,completed,West,Paid Social
ORD000376,CUST03788,2024-04-27,cancelled,West,Paid Social
ORD000377,CUST03788,2024-05-20,completed,West,Paid Social
ORD000378,CUST03788,2024-05-27,cancelled,West,Paid Social
ORD000379,CUST03788,2024-08-25,completed,West,Paid Social
ORD000380,CUST01529,2024-09-22,completed,West,Paid Social
ORD000381,CUST01529,2024-10-13,completed,West,Paid Social
ORD000382,CUST01529,2025-05-14,completed,West,Paid Social
ORD000383,CUST03804,2024-07-21,completed,South,Referral
ORD000384,CUST03804,2024-08-01,returned,South,Referral
ORD000385,CUST03804,2024-12-04,completed,South,Referral
ORD000386,CUST00300,2024-01-13,completed,South,Direct
ORD000387,CUST00300,2024-01-29,completed,South,Direct
ORD000388,CUST00300,2024-02-07,completed,South,Direct
ORD000389,CUST00300,2024-02-15,completed,South,Direct
ORD000390,CUST00300,2024-02-19,returned,South,Direct
ORD000391,CUST00300,2024-03-20,completed,South,Direct
ORD000392,CUST00300,2024-04-03,completed,South,Direct
ORD000393,CUST00300,2024-04-25,completed,South,Direct
ORD000394,CUST01167,2024-03-26,completed,Northeast,Referral
ORD000395,CUST01167,2024-05-28,completed,Northeast,Referral
ORD000396,CUST03947,2024-01-15,completed,Northeast,Direct
ORD000397,CUST03947,2024-02-01,completed,Northeast,Direct
ORD000398,CUST03947,2024-06-11,completed,Northeast,Direct
ORD000399,CUST03947,2024-06-15,completed,Northeast,Direct
ORD000400,CUST00272,2024-02-09,completed,South,Organic Search
ORD000401,CUST00272,2024-03-01,completed,South,Organic Search
ORD000402,CUST00272,2024-03-19,completed,South,Organic Search
ORD000403,CUST00272,2024-03-22,completed,South,Organic Search
ORD000404,CUST00272,2024-04-15,completed,South,Organic Search
ORD000405,CUST00272,2024-04-16,completed,South,Organic Search
ORD000406,CUST00272,2024-04-24,completed,South,Organic Search
ORD000407,CUST00272,2024-05-25,returned,South,Organic Search
ORD000408,CUST00272,2024-05-26,cancelled,South,Organic Search
ORD000409,CUST03309,2024-03-10,completed,Northeast,Paid Social
ORD000410,CUST03309,2024-04-02,completed,Northeast,Paid Social
ORD000411,CUST03309,2024-04-02,completed,Northeast,Paid Social
ORD000412,CUST03309,2024-06-18,completed,Northeast,Paid Social
ORD000413,CUST01744,2024-03-22,completed,South,Direct
ORD000414,CUST01744,2024-04-15,completed,South,Direct
ORD000415,CUST01744,2024-04-19,completed,South,Direct
ORD000416,CUST01744,2024-06-05,completed,South,Direct
ORD000417,CUST01744,2024-07-07,completed,South,Direct
ORD000418,CUST01744,2024-07-08,returned,South,Direct
ORD000419,CUST01744,2024-07-24,completed,South,Direct
ORD000420,CUST01783,2024-01-15,completed,West,Paid Social
ORD000421,CUST02261,2024-01-15,completed,West,Paid Social
ORD000422,CUST02261,2024-02-17,completed,West,Paid Social
ORD000423,CUST02261,2024-03-11,completed,West,Paid Social
ORD000424,CUST02261,2024-04-30,completed,West,Paid Social
ORD000425,CUST02261,2024-05-08,completed,West,Paid Social
ORD000426,CUST02261,2024-06-01,completed,West,Paid Social
ORD000427,CUST02261,2024-06-07,completed,West,Paid Social
ORD000428,CUST02261,2024-06-08,completed,West,Paid Social
ORD000429,CUST02261,2024-06-09,returned,West,Paid Social
ORD000430,CUST02261,2024-06-10,completed,West,Paid Social
ORD000431,CUST03805,2024-06-20,completed,South,Organic Search
ORD000432,CUST00369,2024-02-04,completed,Midwest,Paid Social
ORD000433,CUST00369,2024-04-03,completed,Midwest,Paid Social
ORD000434,CUST00369,2024-04-10,completed,Midwest,Paid Social
ORD000435,CUST00369,2024-04-20,completed,Midwest,Paid Social
ORD000436,CUST00369,2024-05-14,cancelled,Midwest,Paid Social
ORD000437,CUST00369,2024-05-30,completed,Midwest,Paid Social
ORD000438,CUST00369,2024-06-13,completed,Midwest,Paid Social
ORD000439,CUST00369,2024-07-05,returned,Midwest,Paid Social
ORD000440,CUST00369,2024-07-20,completed,Midwest,Paid Social
ORD000441,CUST00369,2024-09-16,completed,Midwest,Paid Social
ORD000442,CUST03119,2024-05-18,completed,Northeast,Email
ORD000443,CUST03119,2024-05-24,completed,Northeast,Email
ORD000444,CUST03119,2024-06-04,returned,Northeast,Email
ORD000445,CUST03119,2024-06-24,completed,Northeast,Email
ORD000446,CUST03119,2024-07-10,completed,Northeast,Email
ORD000447,CUST00170,2024-01-29,completed,South,Email
ORD000448,CUST00170,2024-03-09,completed,South,Email
ORD000449,CUST00170,2024-03-12,returned,South,Email
ORD000450,CUST00170,2024-03-17,completed,South,Email
ORD000451,CUST00170,2024-03-17,completed,South,Email
ORD000452,CUST00170,2024-04-08,completed,South,Email
ORD000453,CUST00170,2024-04-27,completed,South,Email
ORD000454,CUST02138,2024-01-13,completed,West,Organic Search
ORD000455,CUST02138,2024-01-17,completed,West,Organic Search
ORD000456,CUST02138,2024-01-18,completed,West,Organic Search
ORD000457,CUST02138,2024-01-19,completed,West,Organic Search
ORD000458,CUST02138,2024-01-19,completed,West,Organic Search
ORD000459,CUST02138,2024-01-21,completed,West,Organic Search
