product_id,category,unit_price,unit_cost,product_name
PROD0042,Home & Kitchen,113.32,69.0,HOME-0042
PROD0043,Home & Kitchen,18.2,10.88,HOME-0043
PROD0044,Home & Kitchen,110.87,69.15,HOME-0044
PROD0045,Home & Kitchen,136.06,80.87,HOME-0045
PROD0046,Home & Kitchen,36.63,17.53,HOME-0046
PROD0047,Home & Kitchen,141.08,77.53,HOME-0047
PROD0048,Home & Kitchen,85.43,53.73,HOME-0048
PROD0049,Home & Kitchen,132.39,77.03,HOME-0049
PROD0050,Home & Kitchen,133.52,57.21,HOME-0050
PROD0051,Apparel,71.09,45.6,APPA-0051
PROD0052,Apparel,15.82,7.21,APPA-0052
PROD0053,Apparel,73.93,39.18,APPA-0053
PROD0054,Apparel,18.76,8.76,APPA-0054
PROD0055,Apparel,37.28,17.9,APPA-0055
PROD0056,Apparel,80.46,45.5,APPA-0056
PROD0057,Apparel,69.32,27.96,APPA-0057
PROD0058,Apparel,45.35,21.74,APPA-0058
PROD0059,Apparel,78.45,50.09,APPA-0059
PROD0060,Apparel,45.02,28.96,APPA-0060
PROD0061,Apparel,13.12,6.32,APPA-0061
PROD0062,Apparel,72.44,35.5,APPA-0062
PROD0063,Apparel,83.84,38.12,APPA-0063
PROD0064,Apparel,74.06,33.36,APPA-0064
PROD0065,Apparel,27.37,14.0,APPA-0065
PROD0066,Apparel,85.71,46.83,APPA-0066
PROD0067,Apparel,61.53,24.76,APPA-0067
PROD0068,Apparel,16.42,6.84,APPA-0068
PROD0069,Apparel,75.93,34.87,APPA-0069
PROD0070,Apparel,37.65,20.8,APPA-0070
PROD0071,Apparel,57.55,28.93,APPA-0071
PROD0072,Apparel,12.34,6.32,APPA-0072
PROD0073,Apparel,69.63,31.95,APPA-0073
PROD0074,Apparel,67.25,27.15,APPA-0074
PROD0075,Apparel,82.82,52.8,APPA-0075
PROD0076,Beauty,8.13,4.18,BEAU-0076
PROD0077,Beauty,29.52,18.02,BEAU-0077
PROD0078,Beauty,36.12,19.97,BEAU-0078
PROD0079,Beauty,18.53,7.77,BEAU-0079
PROD0080,Beauty,44.0,24.43,BEAU-0080
PROD0081,Beauty,51.28,31.34,BEAU-0081
PROD0082,Beauty,40.81,21.82,BEAU-0082
PROD0083,Beauty,55.53,33.34,BEAU-0083
PROD0084,Beauty,53.89,34.97,BEAU-0084
PROD0085,Beauty,28.98,16.79,BEAU-0085
PROD0086,Beauty,43.78,19.42,BEAU-0086
PROD0087,Beauty,41.1,20.84,BEAU-0087
PROD0088,Beauty,31.43,13.99,BEAU-0088
PROD0089,Beauty,46.73,26.85,BEAU-0089
PROD0090,Beauty,35.68,15.67,BEAU-0090
PROD0091,Beauty,36.96,15.71,BEAU-0091
PROD0092,Beauty,25.65,12.65,BEAU-0092
PROD0093,Beauty,53.94,27.18,BEAU-0093
PROD0094,Beauty,39.12,24.2,BEAU-0094
PROD0095,Beauty,30.14,18.71,BEAU-0095
PROD0096,Beauty,15.1,7.42,BEAU-0096
PROD0097,Beauty,12.93,6.99,BEAU-0097
PROD0098,Beauty,57.78,32.6,BEAU-0098
PROD0099,Beauty,40.56,19.04,BEAU-0099
PROD0100,Beauty,56.42,29.22,BEAU-0100
PROD0101,Sports & Outdoors,64.4,41.66,SPOR-0101
PROD0102,Sports & Outdoors,93.28,45.98,SPOR-0102
PROD0103,Sports & Outdoors,21.47,9.54,SPOR-0103
PROD0104,Sports & Outdoors,164.7,85.75,SPOR-0104
PROD0105,Sports & Outdoors,191.65,80.68,SPOR-0105
PROD0106,Sports & Outdoors,128.95,74.79,SPOR-0106
PROD0107,Sports & Outdoors,129.92,69.18,SPOR-0107
PROD0108,Sports & Outdoors,121.99,69.83,SPOR-0108
PROD0109,Sports & Outdoors,174.7,84.57,SPOR-0109
PROD0110,Sports & Outdoors,100.04,55.92,SPOR-0110
PROD0111,Sports & Outdoors,73.13,32.52,SPOR-0111
PROD0112,Sports & Outdoors,193.74,86.93,SPOR-0112
PROD0113,Sports & Outdoors,58.06,32.2,SPOR-0113
PROD0114,Sports & Outdoors,29.31,11.97,SPOR-0114
PROD0115,Sports & Outdoors,26.84,11.56,SPOR-0115
PROD0116,Sports & Outdoors,94.4,57.33,SPOR-0116
PROD0117,Sports & Outdoors,78.26,39.67,SPOR-0117
PROD0118,Sports & Outdoors,126.05,59.94,SPOR-0118
PROD0119,Sports & Outdoors,95.02,47.18,SPOR-0119
PROD0120,Sports & Outdoors,78.25,38.9,SPOR-0120
PROD0121,Sports & Outdoors,17.06,10.6,SPOR-0121
PROD0122,Sports & Outdoors,195.81,120.55,SPOR-0122
PROD0123,Sports & Outdoors,16.06,9.44,SPOR-0123
PROD0124,Sports & Outdoors,121.02,51.26,SPOR-0124
PROD0125,Sports & Outdoors,187.58,111.43,SPOR-0125
PROD0126,Office,15.9,10.19,OFFI-0126
PROD0127,Office,14.46,7.43,OFFI-0127
PROD0128,Office,16.92,7.4,OFFI-0128
PROD0129,Office,77.59,42.13,OFFI-0129
PROD0130,Office,24.44,14.52,OFFI-0130
PROD0131,Office,70.64,44.46,OFFI-0131
PROD0132,Office,74.97,46.96,OFFI-0132
PROD0133,Office,52.92,25.7,OFFI-0133
PROD0134,Office,74.42,32.05,OFFI-0134
PROD0135,Office,17.66,8.98,OFFI-0135
PROD0136,Office,26.27,14.55,OFFI-0136
PROD0137,Office,72.9,38.11,OFFI-0137
PROD0138,Office,46.54,23.54,OFFI-0138
PROD0139,Office,58.07,24.69,OFFI-0139
PROD0140,Office,8.64,4.84,OFFI-0140
PROD0141,Office,45.12,22.64,OFFI-0141
PROD0142,Office,30.05,12.41,OFFI-0142
PROD0143,Office,56.04,28.32,OFFI-0143
PROD0144,Office,38.4,23.94,OFFI-0144
PROD0145,Office,60.32,27.44,OFFI-0145
PROD0146,Office,54.29,23.51,OFFI-0146
PROD0147,Office,19.55,11.31,OFFI-0147
PROD0148,Office,14.44,6.79,OFFI-0148
PROD0149,Office,72.35,42.29,OFFI-0149
PROD0150,Office,74.71,46.35,OFFI-0150
