customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_sum,segment
CUST00046,2,10,5026.54,4,4,4,12,Champions
CUST00047,213,4,1415.9299999999998,2,2,2,6,Needs Attention
CUST00048,15,10,5181.25,4,4,4,12,Champions
CUST00049,106,4,2296.0,3,2,2,7,Loyal Customers
CUST00050,31,5,3255.96,4,3,3,10,Champions
CUST00051,80,3,1546.24,3,1,2,6,Promising / New
CUST00052,407,5,2332.81,1,3,3,7,At Risk
CUST00053,254,1,405.52,2,1,1,4,Other
CUST00054,227,4,1822.4899999999998,2,2,2,6,Needs Attention
CUST00055,188,1,208.84,2,1,1,4,Other
CUST00056,344,4,854.21,1,2,1,4,Hibernating / Lost
CUST00057,175,8,5448.3099999999995,2,4,4,10,Needs Attention
CUST00058,414,3,607.6500000000001,1,1,1,3,Hibernating / Lost
CUST00059,16,4,1937.22,4,2,2,8,Loyal Customers
CUST00060,39,2,1032.74,4,1,1,6,Promising / New
CUST00061,24,3,2457.57,4,1,3,8,Promising / New
CUST00062,101,7,2514.86,3,4,3,10,Champions
CUST00063,279,6,1381.21,1,3,2,6,At Risk
CUST00064,1,7,2315.1400000000003,4,4,2,10,Loyal Customers
CUST00065,116,5,3882.6600000000003,3,3,4,10,Champions
CUST00066,304,4,1129.16,1,2,1,4,Hibernating / Lost
CUST00067,7,3,1146.6200000000001,4,1,1,6,Promising / New
CUST00068,293,2,705.61,1,1,1,3,Hibernating / Lost
CUST00069,191,5,1931.41,2,3,2,7,Needs Attention
CUST00070,73,6,5239.0599999999995,3,3,4,10,Champions
CUST00071,80,3,1262.27,3,1,1,5,Promising / New
CUST00072,422,3,2316.67,1,1,3,5,Hibernating / Lost
CUST00073,222,4,1624.0400000000002,2,2,2,6,Needs Attention
CUST00074,421,3,1656.27,1,1,2,4,Hibernating / Lost
CUST00075,126,6,2845.25,3,3,3,9,Champions
CUST00076,170,4,1633.9,2,2,2,6,Needs Attention
CUST00077,255,2,1809.3,2,1,2,5,Other
CUST00078,212,6,2713.2,2,3,3,8,Needs Attention
CUST00079,132,4,612.87,3,2,1,6,Loyal Customers
CUST00081,6,5,2288.3,4,3,2,9,Loyal Customers
CUST00082,184,5,1897.6200000000001,2,3,2,7,Needs Attention
CUST00083,169,3,900.25,2,1,1,4,Other
CUST00084,22,4,2331.04,4,2,3,9,Loyal Customers
CUST00085,124,6,3238.38,3,3,3,9,Champions
CUST00086,32,6,2758.2999999999997,4,3,3,10,Champions
CUST00087,349,5,3904.49,1,3,4,8,At Risk
CUST00088,294,2,551.51,1,1,1,3,Hibernating / Lost
CUST00089,92,8,5046.27,3,4,4,11,Champions
CUST00090,14,4,829.39,4,2,1,7,Loyal Customers
CUST00091,130,4,2371.07,3,2,3,8,Loyal Customers
CUST00092,17,4,2836.21,4,2,3,9,Loyal Customers
CUST00093,31,2,432.24,4,1,1,6,Promising / New
CUST00094,271,5,2249.7,2,3,2,7,Needs Attention
CUST00095,4,11,7890.58,4,4,4,12,Champions
CUST00096,233,4,1329.97,2,2,2,6,Needs Attention
CUST00097,69,9,3471.52,3,4,3,10,Champions
CUST00098,121,1,374.51,3,1,1,5,Promising / New
CUST00099,174,1,467.13,2,1,1,4,Other
CUST00100,327,4,1530.43,1,2,2,5,Hibernating / Lost
CUST00101,48,4,2891.85,4,2,3,9,Loyal Customers
CUST00102,378,5,2355.32,1,3,3,7,At Risk
CUST00103,54,2,1914.8700000000001,4,1,2,7,Promising / New
CUST00104,341,7,3962.6099999999997,1,4,4,9,At Risk
CUST00105,51,4,1504.42,4,2,2,8,Loyal Customers
CUST00106,54,8,3487.91,4,4,3,11,Champions
CUST00107,111,1,859.7,3,1,1,5,Promising / New
CUST00109,236,3,814.0799999999999,2,1,1,4,Other
CUST00110,92,6,2652.84,3,3,3,9,Champions
CUST00111,275,11,8323.81,1,4,4,9,At Risk
CUST00112,60,10,3908.02,3,4,4,11,Champions
CUST00113,194,3,1554.56,2,1,2,5,Other
CUST00114,245,6,3503.8199999999997,2,3,3,8,Needs Attention
CUST00115,215,3,1466.16,2,1,2,5,Other
CUST00117,451,2,918.17,1,1,1,3,Hibernating / Lost
CUST00118,401,3,2751.36,1,1,3,5,Hibernating / Lost
CUST00119,328,8,3879.36,1,4,4,9,At Risk
CUST00120,337,6,3627.9300000000003,1,3,4,8,At Risk
CUST00121,272,1,967.96,2,1,1,4,Other
CUST00122,69,5,4696.03,3,3,4,10,Champions
CUST00123,135,3,464.79,3,1,1,5,Promising / New
CUST00124,69,10,6381.129999999999,3,4,4,11,Champions
CUST00125,40,4,2451.67,4,2,3,9,Loyal Customers
CUST00126,164,11,4386.74,2,4,4,10,Needs Attention
CUST00127,456,13,4098.15,1,4,4,9,At Risk
CUST00128,65,2,4488.5599999999995,3,1,4,8,Promising / New
CUST00129,78,4,1499.73,3,2,2,7,Loyal Customers
CUST00130,73,5,1765.98,3,3,2,8,Loyal Customers
CUST00131,209,7,2839.28,2,4,3,9,Needs Attention
CUST00132,235,2,588.48,2,1,1,4,Other
CUST00133,339,1,937.75,1,1,1,3,Hibernating / Lost
CUST00134,134,7,4446.11,3,4,4,11,Champions
CUST00135,20,4,1405.18,4,2,2,8,Loyal Customers
CUST00136,89,3,2334.89,3,1,3,7,Promising / New
CUST00137,114,2,1240.03,3,1,1,5,Promising / New
CUST00138,306,5,2854.7200000000003,1,3,3,7,At Risk
CUST00139,326,5,1042.61,1,3,1,5,At Risk
CUST00140,181,1,158.14,2,1,1,4,Other
CUST00141,3,5,1590.88,4,3,2,9,Loyal Customers
CUST00142,387,5,2585.57,1,3,3,7,At Risk
CUST00143,344,3,598.47,1,1,1,3,Hibernating / Lost
CUST00144,193,7,3174.6,2,4,3,9,Needs Attention
CUST00145,1,7,2973.73,4,4,3,11,Champions
CUST00146,58,2,2216.25,4,1,2,7,Promising / New
CUST00147,493,4,4335.09,1,2,4,7,Hibernating / Lost
CUST00148,90,6,3986.22,3,3,4,10,Champions
CUST00149,32,12,4654.03,4,4,4,12,Champions
CUST00150,405,5,4606.05,1,3,4,8,At Risk
CUST00151,3,4,2300.64,4,2,2,8,Loyal Customers
CUST00152,225,4,2064.5299999999997,2,2,2,6,Needs Attention
CUST00153,7,12,7317.39,4,4,4,12,Champions
CUST00154,216,5,2414.09,2,3,3,8,Needs Attention
CUST00155,279,9,7048.6,1,4,4,9,At Risk
CUST00156,79,6,5527.74,3,3,4,10,Champions
CUST00157,444,6,3194.9300000000003,1,3,3,7,At Risk
CUST00158,185,6,1888.27,2,3,2,7,Needs Attention
CUST00159,228,8,5281.030000000001,2,4,4,10,Needs Attention
CUST00160,13,6,2084.93,4,3,2,9,Loyal Customers
CUST00161,1,2,2087.05,4,1,2,7,Promising / New
CUST00162,76,4,1547.74,3,2,2,7,Loyal Customers
CUST00163,213,6,4277.84,2,3,4,9,Needs Attention
CUST00164,184,4,1582.41,2,2,2,6,Needs Attention
CUST00165,57,6,3322.84,4,3,3,10,Champions
CUST00166,61,6,1714.7099999999998,3,3,2,8,Loyal Customers
CUST00167,269,4,1617.13,2,2,2,6,Needs Attention
CUST00168,145,4,2183.67,3,2,2,7,Loyal Customers
CUST00169,339,10,4643.24,1,4,4,9,At Risk
CUST00170,429,6,4755.49,1,3,4,8,At Risk
CUST00171,195,3,1059.96,2,1,1,4,Other
CUST00172,242,12,5620.89,2,4,4,10,Needs Attention
CUST00173,85,2,1344.54,3,1,2,6,Promising / New
CUST00174,116,2,740.0699999999999,3,1,1,5,Promising / New
CUST00175,78,5,3802.67,3,3,4,10,Champions
CUST00176,248,5,3190.63,2,3,3,8,Needs Attention
CUST00177,64,4,1876.76,3,2,2,7,Loyal Customers
CUST00178,192,1,703.35,2,1,1,4,Other
CUST00179,20,5,3191.77,4,3,3,10,Champions
CUST00180,15,2,670.3,4,1,1,6,Promising / New
CUST00181,20,3,302.45000000000005,4,1,1,6,Promising / New
CUST00182,235,5,2033.5700000000002,2,3,2,7,Needs Attention
CUST00183,11,4,1118.97,4,2,1,7,Loyal Customers
CUST00184,42,11,6703.51,4,4,4,12,Champions
CUST00185,157,4,2109.35,3,2,2,7,Loyal Customers
CUST00186,259,2,2185.58,2,1,2,5,Other
CUST00187,410,7,3416.54,1,4,3,8,At Risk
CUST00188,199,5,2476.81,2,3,3,8,Needs Attention
CUST00189,251,5,3233.08,2,3,3,8,Needs Attention
CUST00190,352,4,4154.84,1,2,4,7,Hibernating / Lost
CUST00191,170,1,31.43,2,1,1,4,Other
CUST00192,128,5,4866.64,3,3,4,10,Champions
CUST00193,57,3,1955.84,4,1,2,7,Promising / New
CUST00194,298,6,3872.3300000000004,1,3,4,8,At Risk
CUST00195,2,5,3463.83,4,3,3,10,Champions
CUST00196,294,6,3262.72,1,3,3,7,At Risk
CUST00197,259,6,4314.82,2,3,4,9,Needs Attention
CUST00198,263,3,1670.17,2,1,2,5,Other
CUST00199,65,5,3471.1299999999997,3,3,3,9,Champions
CUST00200,3,3,406.01,4,1,1,6,Promising / New
CUST00201,66,7,1630.3500000000001,3,4,2,9,Loyal Customers
CUST00202,11,11,6671.76,4,4,4,12,Champions
CUST00203,232,2,481.7,2,1,1,4,Other
CUST00204,113,5,2058.5,3,3,2,8,Loyal Customers
CUST00205,279,1,347.25,1,1,1,3,Hibernating / Lost
CUST00206,120,5,3833.96,3,3,4,10,Champions
CUST00207,105,3,1126.54,3,1,1,5,Promising / New
CUST00208,3,6,2764.42,4,3,3,10,Champions
CUST00209,258,3,401.08,2,1,1,4,Other
CUST00210,84,1,1851.46,3,1,2,6,Promising / New
CUST00211,339,4,3748.79,1,2,4,7,Hibernating / Lost
CUST00212,107,6,2350.91,3,3,3,9,Champions
CUST00213,68,10,4980.26,3,4,4,11,Champions
CUST00215,72,4,1348.55,3,2,2,7,Loyal Customers
CUST00216,189,11,5270.22,2,4,4,10,Needs Attention
CUST00217,319,8,3923.25,1,4,4,9,At Risk
CUST00218,249,7,2472.3,2,4,3,9,Needs Attention
CUST00219,132,7,3347.16,3,4,3,10,Champions
CUST00220,15,7,2373.25,4,4,3,11,Champions
CUST00221,270,4,1895.42,2,2,2,6,Needs Attention
CUST00222,165,6,2256.19,2,3,2,7,Needs Attention
CUST00224,384,3,2556.7,1,1,3,5,Hibernating / Lost
CUST00225,24,4,2517.9500000000003,4,2,3,9,Loyal Customers
CUST00226,70,4,2182.75,3,2,2,7,Loyal Customers
CUST00227,36,3,1220.24,4,1,1,6,Promising / New
CUST00228,171,6,4494.9400000000005,2,3,4,9,Needs Attention
CUST00229,108,4,4137.33,3,2,4,9,Loyal Customers
CUST00230,339,9,5438.99,1,4,4,9,At Risk
CUST00231,194,7,2421.85,2,4,3,9,Needs Attention
CUST00232,33,5,1367.3899999999999,4,3,2,9,Loyal Customers
CUST00233,316,5,2921.48,1,3,3,7,At Risk
CUST00234,75,2,213.18,3,1,1,5,Promising / New
CUST00235,213,4,2905.02,2,2,3,7,Needs Attention
CUST00236,115,4,1798.4700000000003,3,2,2,7,Loyal Customers
CUST00237,57,5,2793.66,4,3,3,10,Champions
CUST00238,286,4,3796.82,1,2,4,7,Hibernating / Lost
CUST00239,324,5,3025.88,1,3,3,7,At Risk
CUST00240,169,3,3055.71,2,1,3,6,Other
CUST00241,357,1,1015.38,1,1,1,3,Hibernating / Lost
CUST00242,106,9,4612.49,3,4,4,11,Champions
CUST00243,359,4,3037.1200000000003,1,2,3,6,Hibernating / Lost
CUST00244,132,7,5132.88,3,4,4,11,Champions
CUST00245,154,9,3666.0299999999997,3,4,4,11,Champions
CUST00246,387,2,1610.62,1,1,2,4,Hibernating / Lost
CUST00247,23,7,4397.23,4,4,4,12,Champions
CUST00248,195,6,2307.92,2,3,2,7,Needs Attention
CUST00249,54,6,3731.92,4,3,4,11,Champions
CUST00250,307,4,2050.33,1,2,2,5,Hibernating / Lost
CUST00251,274,4,2628.86,1,2,3,6,Hibernating / Lost
CUST00252,244,4,2136.31,2,2,2,6,Needs Attention
CUST00253,297,6,2880.41,1,3,3,7,At Risk
CUST00254,290,5,1826.8999999999999,1,3,2,6,At Risk
CUST00255,98,5,2750.91,3,3,3,9,Champions
CUST00256,384,4,1738.5,1,2,2,5,Hibernating / Lost
CUST00257,102,3,1318.02,3,1,1,5,Promising / New
CUST00258,271,3,1532.19,2,1,2,5,Other
CUST00259,324,2,223.12,1,1,1,3,Hibernating / Lost
CUST00260,157,2,529.94,3,1,1,5,Promising / New
CUST00261,57,8,4946.79,4,4,4,12,Champions
CUST00262,156,4,1828.46,3,2,2,7,Loyal Customers
CUST00263,118,3,2147.1,3,1,2,6,Promising / New
CUST00264,2,10,6337.31,4,4,4,12,Champions
CUST00265,1,9,4930.0599999999995,4,4,4,12,Champions
CUST00266,200,2,1178.55,2,1,1,4,Other
CUST00267,266,2,2327.84,2,1,3,6,Other
CUST00268,328,1,976.59,1,1,1,3,Hibernating / Lost
CUST00269,86,3,1901.0199999999998,3,1,2,6,Promising / New
CUST00270,117,5,1945.5100000000002,3,3,2,8,Loyal Customers
CUST00271,121,7,3476.5299999999997,3,4,3,10,Champions
CUST00272,432,7,2665.68,1,4,3,8,At Risk
CUST00273,430,7,4107.5,1,4,4,9,At Risk
CUST00274,5,3,307.38,4,1,1,6,Promising / New
CUST00275,289,4,1403.68,1,2,2,5,Hibernating / Lost
CUST00276,184,3,703.8,2,1,1,4,Other
CUST00277,29,2,1585.9,4,1,2,7,Promising / New
CUST00278,1,7,2746.92,4,4,3,11,Champions
CUST00279,284,2,1575.51,1,1,2,4,Hibernating / Lost
CUST00280,428,5,3112.11,1,3,3,7,At Risk
CUST00281,218,7,2442.92,2,4,3,9,Needs Attention
CUST00282,79,3,732.95,3,1,1,5,Promising / New
CUST00283,157,4,1704.7,3,2,2,7,Loyal Customers
CUST00284,17,6,1928.5700000000002,4,3,2,9,Loyal Customers
CUST00285,145,5,1684.2,3,3,2,8,Loyal Customers
CUST00286,8,8,4022.4,4,4,4,12,Champions
CUST00287,381,6,5016.57,1,3,4,8,At Risk
CUST00288,194,2,803.5400000000001,2,1,1,4,Other
CUST00289,237,2,995.55,2,1,1,4,Other
CUST00290,227,2,875.0899999999999,2,1,1,4,Other
CUST00291,73,4,1823.6100000000001,3,2,2,7,Loyal Customers
CUST00292,308,6,2841.1400000000003,1,3,3,7,At Risk
CUST00293,3,3,1342.3600000000001,4,1,2,7,Promising / New
CUST00294,345,1,437.4,1,1,1,3,Hibernating / Lost
CUST00295,21,9,4198.89,4,4,4,12,Champions
CUST00296,151,5,2897.42,3,3,3,9,Champions
CUST00297,49,5,1631.3500000000001,4,3,2,9,Loyal Customers
CUST00298,189,2,816.48,2,1,1,4,Other
CUST00299,354,1,321.61,1,1,1,3,Hibernating / Lost
CUST00300,431,7,2141.1400000000003,1,4,2,7,At Risk
CUST00301,305,13,5387.97,1,4,4,9,At Risk
CUST00302,63,5,4583.01,3,3,4,10,Champions
CUST00303,490,5,1530.3600000000001,1,3,2,6,At Risk
CUST00304,14,2,488.8,4,1,1,6,Promising / New
CUST00305,84,2,841.64,3,1,1,5,Promising / New
CUST00306,398,3,952.78,1,1,1,3,Hibernating / Lost
CUST00307,225,1,460.1,2,1,1,4,Other
CUST00308,180,8,4888.13,2,4,4,10,Needs Attention
CUST00309,337,9,3189.35,1,4,3,8,At Risk
CUST00310,106,2,739.24,3,1,1,5,Promising / New
CUST00311,63,3,3142.3,3,1,3,7,Promising / New
CUST00312,47,1,192.5,4,1,1,6,Promising / New
CUST00313,33,9,3679.48,4,4,4,12,Champions
CUST00314,272,9,4520.75,2,4,4,10,Needs Attention
CUST00315,394,3,2805.74,1,1,3,5,Hibernating / Lost
CUST00316,132,4,3648.6,3,2,4,9,Loyal Customers
CUST00317,144,1,387.18,3,1,1,5,Promising / New
CUST00318,73,4,1689.35,3,2,2,7,Loyal Customers
CUST00319,5,6,4363.75,4,3,4,11,Champions
CUST00320,74,1,688.25,3,1,1,5,Promising / New
CUST00321,238,3,2616.88,2,1,3,6,Other
CUST00322,427,3,2573.91,1,1,3,5,Hibernating / Lost
CUST00323,162,2,1347.42,2,1,2,5,Other
CUST00324,6,6,1693.58,4,3,2,9,Loyal Customers
CUST00326,268,10,4979.98,2,4,4,10,Needs Attention
CUST00327,83,5,2995.0,3,3,3,9,Champions
CUST00328,443,9,3759.1099999999997,1,4,4,9,At Risk
CUST00329,437,1,16.42,1,1,1,3,Hibernating / Lost
CUST00330,186,5,1004.1,2,3,1,6,Needs Attention
CUST00331,184,3,2032.03,2,1,2,5,Other
CUST00333,215,4,1740.62,2,2,2,6,Needs Attention
CUST00334,58,2,155.5,4,1,1,6,Promising / New
CUST00335,292,1,440.28,1,1,1,3,Hibernating / Lost
CUST00336,6,5,2435.1,4,3,3,10,Champions
CUST00337,8,2,616.72,4,1,1,6,Promising / New
CUST00338,207,8,3203.29,2,4,3,9,Needs Attention
CUST00339,256,2,512.13,2,1,1,4,Other
CUST00340,4,3,934.54,4,1,1,6,Promising / New
CUST00341,83,5,1798.3500000000001,3,3,2,8,Loyal Customers
CUST00342,362,5,1216.32,1,3,1,5,At Risk
CUST00343,40,3,947.3000000000001,4,1,1,6,Promising / New
CUST00344,204,3,1308.28,2,1,1,4,Other
CUST00345,22,2,754.28,4,1,1,6,Promising / New
CUST00346,338,2,58.62,1,1,1,3,Hibernating / Lost
CUST00347,1,5,2582.67,4,3,3,10,Champions
CUST00348,15,6,1290.2,4,3,1,8,Loyal Customers
CUST00349,424,4,1484.74,1,2,2,5,Hibernating / Lost
CUST00350,416,12,6443.39,1,4,4,9,At Risk
CUST00351,102,1,140.19,3,1,1,5,Promising / New
CUST00352,470,2,2370.81,1,1,3,5,Hibernating / Lost
CUST00353,314,9,5400.9400000000005,1,4,4,9,At Risk
CUST00354,182,3,1054.68,2,1,1,4,Other
CUST00355,5,5,2562.49,4,3,3,10,Champions
CUST00356,1,4,2073.9900000000002,4,2,2,8,Loyal Customers
CUST00357,229,7,5772.12,2,4,4,10,Needs Attention
CUST00358,28,6,3456.96,4,3,3,10,Champions
CUST00359,420,5,2960.77,1,3,3,7,At Risk
CUST00360,77,7,4798.86,3,4,4,11,Champions
CUST00361,11,7,2140.71,4,4,2,10,Loyal Customers
CUST00362,15,4,2515.68,4,2,3,9,Loyal Customers
CUST00363,142,11,6220.81,3,4,4,11,Champions
CUST00364,28,6,3123.9800000000005,4,3,3,10,Champions
CUST00365,414,7,3569.2200000000003,1,4,4,9,At Risk
CUST00366,115,2,392.91,3,1,1,5,Promising / New
CUST00367,255,4,1451.05,2,2,2,6,Needs Attention
CUST00368,334,2,1420.6100000000001,1,1,2,4,Hibernating / Lost
CUST00369,287,8,3539.59,1,4,3,8,At Risk
CUST00370,75,3,1650.9199999999998,3,1,2,6,Promising / New
CUST00371,145,4,3591.99,3,2,4,9,Loyal Customers
CUST00372,104,10,3711.68,3,4,4,11,Champions
CUST00373,198,6,4328.7,2,3,4,9,Needs Attention
CUST00374,258,9,6528.92,2,4,4,10,Needs Attention
CUST00375,28,4,2575.8,4,2,3,9,Loyal Customers
CUST00376,358,7,3866.1499999999996,1,4,4,9,At Risk
CUST00377,119,3,666.28,3,1,1,5,Promising / New
CUST00378,112,2,555.36,3,1,1,5,Promising / New
CUST00379,224,6,4936.18,2,3,4,9,Needs Attention
CUST00380,168,6,3022.0,2,3,3,8,Needs Attention
CUST00381,78,5,2498.97,3,3,3,9,Champions
CUST00382,13,4,1900.9299999999998,4,2,2,8,Loyal Customers
CUST00383,5,9,5566.53,4,4,4,12,Champions
CUST00384,211,4,1768.01,2,2,2,6,Needs Attention
CUST00385,443,4,1563.17,1,2,2,5,Hibernating / Lost
CUST00386,254,5,3065.03,2,3,3,8,Needs Attention
CUST00387,254,5,2356.83,2,3,3,8,Needs Attention
CUST00388,50,11,3967.0099999999998,4,4,4,12,Champions
CUST00389,33,3,914.61,4,1,1,6,Promising / New
CUST00390,431,6,3380.4,1,3,3,7,At Risk
CUST00391,68,3,1704.7600000000002,3,1,2,6,Promising / New
CUST00392,206,7,1998.46,2,4,2,8,Needs Attention
CUST00393,199,3,2050.13,2,1,2,5,Other
CUST00394,167,4,2384.86,2,2,3,7,Needs Attention
CUST00395,3,1,1097.43,4,1,1,6,Promising / New
CUST00396,29,5,3274.6099999999997,4,3,3,10,Champions
CUST00397,187,2,371.1,2,1,1,4,Other
CUST00398,343,7,4134.72,1,4,4,9,At Risk
CUST00399,199,7,3366.21,2,4,3,9,Needs Attention
CUST00400,342,4,1072.66,1,2,1,4,Hibernating / Lost
CUST00401,1,5,1059.3200000000002,4,3,1,8,Loyal Customers
CUST00402,103,2,2252.58,3,1,2,6,Promising / New
CUST00403,24,5,3224.92,4,3,3,10,Champions
CUST00404,6,1,1199.76,4,1,1,6,Promising / New
CUST00405,172,8,4548.4,2,4,4,10,Needs Attention
CUST00406,168,9,4096.73,2,4,4,10,Needs Attention
CUST00407,45,1,653.62,4,1,1,6,Promising / New
CUST00408,371,7,3470.7200000000003,1,4,3,8,At Risk
CUST00409,12,4,3217.4700000000003,4,2,3,9,Loyal Customers
CUST00410,383,5,2309.34,1,3,2,6,At Risk
CUST00411,319,3,1378.6,1,1,2,4,Hibernating / Lost
CUST00412,350,7,4184.83,1,4,4,9,At Risk
CUST00413,181,7,3578.55,2,4,4,10,Needs Attention
CUST00414,360,5,2696.79,1,3,3,7,At Risk
CUST00415,345,1,512.78,1,1,1,3,Hibernating / Lost
CUST00416,96,1,52.54,3,1,1,5,Promising / New
CUST00417,10,6,2207.62,4,3,2,9,Loyal Customers
CUST00418,329,3,2144.02,1,1,2,4,Hibernating / Lost
CUST00419,347,1,145.8,1,1,1,3,Hibernating / Lost
CUST00420,245,3,1721.55,2,1,2,5,Other
CUST00421,4,5,3969.3500000000004,4,3,4,11,Champions
CUST00422,97,4,3118.2700000000004,3,2,3,8,Loyal Customers
CUST00423,51,9,4609.17,4,4,4,12,Champions
CUST00424,160,3,2235.4300000000003,2,1,2,5,Other
CUST00425,206,7,5639.45,2,4,4,10,Needs Attention
CUST00426,156,2,328.38,3,1,1,5,Promising / New
CUST00427,40,7,2800.75,4,4,3,11,Champions
CUST00428,77,5,2187.55,3,3,2,8,Loyal Customers
CUST00429,469,2,1432.23,1,1,2,4,Hibernating / Lost
CUST00430,100,6,817.75,3,3,1,7,Loyal Customers
CUST00431,320,4,3436.0899999999997,1,2,3,6,Hibernating / Lost
CUST00433,66,7,2517.4900000000002,3,4,3,10,Champions
CUST00434,101,7,2653.67,3,4,3,10,Champions
CUST00435,214,1,1254.41,2,1,1,4,Other
CUST00436,369,6,1892.62,1,3,2,6,At Risk
CUST00437,80,4,4507.77,3,2,4,9,Loyal Customers
CUST00438,12,3,1728.62,4,1,2,7,Promising / New
CUST00439,393,10,2718.7000000000003,1,4,3,8,At Risk
CUST00440,261,10,5224.2,2,4,4,10,Needs Attention
CUST00441,2,1,1179.4,4,1,1,6,Promising / New
CUST00442,329,1,54.71,1,1,1,3,Hibernating / Lost
CUST00443,338,4,1275.98,1,2,1,4,Hibernating / Lost
CUST00444,195,2,828.72,2,1,1,4,Other
CUST00445,172,5,1655.15,2,3,2,7,Needs Attention
CUST00446,172,1,220.63,2,1,1,4,Other
CUST00447,312,2,1043.45,1,1,1,3,Hibernating / Lost
CUST00448,14,2,1541.46,4,1,2,7,Promising / New
CUST00449,62,3,1322.78,3,1,2,6,Promising / New
CUST00450,302,10,5676.49,1,4,4,9,At Risk
CUST00451,3,7,1926.4,4,4,2,10,Loyal Customers
CUST00452,4,14,7937.42,4,4,4,12,Champions
CUST00453,230,7,2868.03,2,4,3,9,Needs Attention
CUST00454,332,2,651.19,1,1,1,3,Hibernating / Lost
CUST00455,176,6,3237.26,2,3,3,8,Needs Attention
CUST00456,149,1,25.65,3,1,1,5,Promising / New
CUST00457,358,4,1374.0900000000001,1,2,2,5,Hibernating / Lost
CUST00458,65,4,4689.589999999999,3,2,4,9,Loyal Customers
CUST00459,45,6,924.52,4,3,1,8,Loyal Customers
CUST00460,456,1,114.13,1,1,1,3,Hibernating / Lost
CUST00461,119,4,2446.03,3,2,3,8,Loyal Customers
CUST00462,336,8,5759.57,1,4,4,9,At Risk
CUST00463,89,5,1013.16,3,3,1,7,Loyal Customers
CUST00464,196,9,4067.3,2,4,4,10,Needs Attention
CUST00465,339,11,4157.51,1,4,4,9,At Risk
CUST00466,2,5,1928.3999999999999,4,3,2,9,Loyal Customers
CUST00467,439,1,185.68,1,1,1,3,Hibernating / Lost
CUST00468,116,5,2250.26,3,3,2,8,Loyal Customers
CUST00469,222,11,5205.45,2,4,4,10,Needs Attention
CUST00470,5,5,684.0500000000001,4,3,1,8,Loyal Customers
CUST00471,54,8,3970.91,4,4,4,12,Champions
CUST00472,56,3,1588.38,4,1,2,7,Promising / New
CUST00473,10,5,2028.73,4,3,2,9,Loyal Customers
CUST00474,241,6,2807.51,2,3,3,8,Needs Attention
CUST00475,146,7,6119.37,3,4,4,11,Champions
CUST00476,70,11,5652.0,3,4,4,11,Champions
CUST00477,12,3,1688.88,4,1,2,7,Promising / New
